Sno,Date,Province/State,Country,Last Update,Confirmed,Deaths,Recovered
1,01/22/2020,Anhui,China,01/22/2020 12:00:00,1,0,0
2,01/22/2020,Beijing,China,01/22/2020 12:00:00,14,0,0
3,01/22/2020,Chongqing,China,01/22/2020 12:00:00,6,0,0
4,01/22/2020,Fujian,China,01/22/2020 12:00:00,1,0,0
5,01/22/2020,Gansu,China,01/22/2020 12:00:00,0,0,0
6,01/22/2020,Guangdong,China,01/22/2020 12:00:00,26,0,0
7,01/22/2020,Guangxi,China,01/22/2020 12:00:00,2,0,0
8,01/22/2020,Guizhou,China,01/22/2020 12:00:00,1,0,0
9,01/22/2020,Hainan,China,01/22/2020 12:00:00,4,0,0
10,01/22/2020,Hebei,China,01/22/2020 12:00:00,1,0,0
11,01/22/2020,Heilongjiang,China,01/22/2020 12:00:00,0,0,0
12,01/22/2020,Henan,China,01/22/2020 12:00:00,5,0,0
13,01/22/2020,Hong Kong,China,01/22/2020 12:00:00,0,0,0
14,01/22/2020,Hubei,China,01/22/2020 12:00:00,444,0,0
15,01/22/2020,Hunan,China,01/22/2020 12:00:00,4,0,0
16,01/22/2020,Inner Mongolia,China,01/22/2020 12:00:00,0,0,0
17,01/22/2020,Jiangsu,China,01/22/2020 12:00:00,1,0,0
18,01/22/2020,Jiangxi,China,01/22/2020 12:00:00,2,0,0
19,01/22/2020,Jilin,China,01/22/2020 12:00:00,0,0,0
20,01/22/2020,Liaoning,China,01/22/2020 12:00:00,2,0,0
21,01/22/2020,Macau,China,01/22/2020 12:00:00,1,0,0
22,01/22/2020,Ningxia,China,01/22/2020 12:00:00,1,0,0
23,01/22/2020,Qinghai,China,01/22/2020 12:00:00,0,0,0
24,01/22/2020,Shaanxi,China,01/22/2020 12:00:00,0,0,0
25,01/22/2020,Shandong,China,01/22/2020 12:00:00,2,0,0
26,01/22/2020,Shanghai,China,01/22/2020 12:00:00,9,0,0
27,01/22/2020,Shanxi,China,01/22/2020 12:00:00,1,0,0
28,01/22/2020,Sichuan,China,01/22/2020 12:00:00,5,0,0
29,01/22/2020,Taiwan,China,01/22/2020 12:00:00,1,0,0
30,01/22/2020,Tianjin,China,01/22/2020 12:00:00,4,0,0
31,01/22/2020,Tibet,China,01/22/2020 12:00:00,0,0,0
32,01/22/2020,Washington,US,01/22/2020 12:00:00,1,0,0
33,01/22/2020,Xinjiang,China,01/22/2020 12:00:00,0,0,0
34,01/22/2020,Yunnan,China,01/22/2020 12:00:00,1,0,0
35,01/22/2020,Zhejiang,China,01/22/2020 12:00:00,10,0,0
36,01/22/2020,,Japan,01/22/2020 12:00:00,2,0,0
37,01/22/2020,,Thailand,01/22/2020 12:00:00,2,0,0
38,01/22/2020,,South Korea,01/22/2020 12:00:00,1,0,0
39,01/23/2020,Anhui,Mainland China,01/23/2020 12:00:00,9,0,0
40,01/23/2020,Beijing,Mainland China,01/23/2020 12:00:00,22,0,0
41,01/23/2020,Chongqing,Mainland China,01/23/2020 12:00:00,9,0,0
42,01/23/2020,Fujian,Mainland China,01/23/2020 12:00:00,5,0,0
43,01/23/2020,Gansu,Mainland China,01/23/2020 12:00:00,2,0,0
44,01/23/2020,Guangdong,Mainland China,01/23/2020 12:00:00,32,0,2
